"NUMBER","DRIVER_NUMBER","LAP_NUMBER","LAP_TIME","S1","S2","S3","KPH","ELAPSED","CLASS","TEAM","AVG_TRACK_TEMP","YEAR","TIRE_TYPE"
1,1,1,93.8,34.89,34.465,24.482,138.2,93.8,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,2,147.9,56.343,56.611,34.94,87.7,241.7,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,3,150,56.293,56.737,36.933,86.5,391.7,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,4,148.4,56.937,55.885,35.563,87.4,540.1,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,5,157,66.2,65.7,25.148,82.6,697.1,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,6,87.6,33.035,34.113,20.486,148,784.8,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,7,87,32.639,34,20.312,149.1,871.7,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,8,87.1,32.613,34.084,20.389,148.9,958.8,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,9,86.5,32.254,34.023,20.237,149.9,1045.3,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,10,86.5,32.307,33.903,20.248,150,1131.8,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,1,11,160.9,32.431,34.1,94.4,80.6,1292.7,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,12,93.4,38.68,34.152,20.566,138.8,1386.1,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,13,86.8,32.603,33.944,20.302,149.3,1472.9,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,14,87,32.678,33.973,20.393,149,1560,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,15,87.6,32.808,34.401,20.437,147.9,1647.6,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,16,87.1,32.593,34.049,20.45,148.9,1734.7,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,17,87.5,32.732,34.326,20.425,148.2,1822.2,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,18,87.6,32.745,34.109,20.699,148.1,1909.7,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,19,88.7,33.634,34.535,20.572,146.1,1998.5,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,20,87.5,32.843,34.135,20.491,148.2,2086,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,21,87.4,32.865,34.031,20.528,148.3,2173.4,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,22,87.6,32.945,34.142,20.53,148,2261,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,23,87.6,32.95,34.176,20.457,148,2348.6,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,24,88,32.951,34.257,20.834,147.3,2436.6,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,25,87.9,33.259,34.096,20.573,147.5,2524.6,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,26,88.4,33.405,34.394,20.64,146.6,2613,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,27,88.1,33.204,34.293,20.586,147.2,2701.1,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,28,89.4,33.157,35.659,20.598,145,2790.5,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,29,88.8,33.279,34.579,20.978,146,2879.3,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,30,91.2,34.407,35.231,21.543,142.2,2970.5,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
1,2,31,90.1,33.698,35.433,20.996,143.9,3060.6,"Pro","Wayne Taylor Racing",110.78,2021,"Pirelli"
16,2,1,94.6,35.211,34.804,24.614,137,94.6,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,2,148.3,56.295,56.489,35.481,87.5,242.9,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,3,149.8,55.963,56.596,37.22,86.6,392.7,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,4,148.8,57.704,55.351,35.761,87.1,541.5,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,5,156.1,66,65.1,25.066,83,697.6,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,6,87.8,32.95,34.383,20.465,147.7,785.4,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,7,87,32.558,34.093,20.348,149,872.4,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,8,86.9,32.401,34.128,20.363,149.2,959.3,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,9,86.5,32.371,33.879,20.269,149.9,1045.8,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,10,86.4,32.271,33.886,20.288,150,1132.3,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,11,87,32.563,34.102,20.289,149.1,1219.2,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,12,86.5,32.225,33.866,20.398,149.9,1305.7,"Pro","Change Racing",110.78,2021,"Pirelli"
16,2,13,161.3,32.501,33.939,94.9,80.4,1467,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,14,91.7,37.282,34.179,20.288,141.3,1558.8,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,15,87.4,32.926,34.043,20.395,148.4,1646.1,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,16,87,32.549,34.021,20.469,149,1733.2,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,17,87.3,32.801,33.98,20.497,148.6,1820.5,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,18,88,32.75,34.32,20.927,147.3,1908.5,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,19,87.3,32.783,34.046,20.483,148.5,1995.8,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,20,87.1,32.66,34.004,20.388,148.9,2082.8,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,21,86.9,32.723,33.816,20.368,149.2,2169.7,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,22,87.5,32.757,34.225,20.493,148.2,2257.2,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,23,87.6,32.875,34.225,20.481,148,2344.8,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,24,88,32.851,34.552,20.579,147.4,2432.8,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,25,87.8,32.897,34.26,20.611,147.7,2520.5,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,26,87.9,33.158,34.113,20.649,147.5,2608.4,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,27,88.2,33.238,34.377,20.558,147.1,2696.6,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,28,89.1,33.439,34.871,20.803,145.5,2785.7,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,29,88.3,33.248,34.304,20.733,146.9,2874,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,30,88.2,33.156,34.496,20.588,146.9,2962.3,"Pro","Change Racing",110.78,2021,"Pirelli"
16,1,31,88.5,33.265,34.504,20.772,146.4,3050.8,"Pro","Change Racing",110.78,2021,"Pirelli"
22,1,1,95.1,35.848,34.749,24.544,136.3,95.1,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,2,148.2,56.324,56.445,35.431,87.5,243.3,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,3,150,56.126,56.535,37.321,86.5,393.3,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,4,148.9,57.594,55.417,35.85,87.1,542.2,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,5,155.9,66,64.9,25,83.2,698,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,6,88.2,33.036,34.692,20.455,147,786.2,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,7,88.4,32.759,35.133,20.552,146.6,874.7,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,8,99.8,32.36,34.156,33.332,129.9,974.5,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,9,92,37.399,34.306,20.301,140.9,1066.5,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,10,86.6,32.294,34.022,20.322,149.7,1153.2,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,11,162.7,32.389,34.341,95.9,79.7,1315.8,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,12,92.7,37.526,34.683,20.453,139.9,1408.5,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,13,86.3,32.246,33.851,20.241,150.2,1494.8,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,14,86.6,32.286,33.968,20.387,149.7,1581.5,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,15,87.5,32.976,34.179,20.339,148.2,1669,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,16,86.9,32.426,33.983,20.47,149.2,1755.8,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,17,89.5,33.729,35.175,20.589,144.9,1845.3,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,18,87.6,32.547,34.459,20.549,148.1,1932.9,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,19,88,32.797,34.486,20.755,147.3,2020.9,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,20,89.3,33.074,35.43,20.781,145.2,2110.2,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,21,88,32.875,34.512,20.654,147.3,2198.3,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,22,88.7,33.481,34.589,20.659,146.1,2287,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
22,1,23,88.1,32.772,34.392,20.984,147.1,2375.1,"Pro","Dream Racing Motorsport",110.78,2021,"Pirelli"
